"sub","reward_self","effort_self","reward_other","effort_other","diff_effort","diff_reward"
"155",0.716451059597666,-0.048103292387911,0.0220014354830344,-0.415711622378193,-0.367608329990282,-0.694449624114631
"332",0.716451059597666,-0.048103292387911,0.272820533763159,0.0335581453972101,0.081661437785121,-0.443630525834507
"548",0.71456245793376,-0.0481060293812452,0.0585448286563321,0.101701292145508,0.149807321526753,-0.656017629277428
"849",0.715328137715454,-0.0644325962781487,0.0564684043008203,0.0975600694467248,0.161992665724873,-0.658859733414634
"893",0.716451059597666,-0.048103292387911,0.055201842958416,0.0997593655238615,0.147862657911772,-0.66124921663925
"974",1.00205061663189,-0.705810032688751,0.357105763222488,-1.09823011089361,-0.392420078204858,-0.6449448534094
"1019",0.716451059597666,-0.048103292387911,0.318048299810948,-0.552814181042168,-0.504710888654257,-0.398402759786718
"1083",0.406406114095017,-0.989665807099248,0.0272819211991909,-1.18343583924925,-0.193770032150005,-0.379124192895826
"1126",0.721940949878026,-0.0537493487459369,0.0196264451553126,-0.00383606776931189,0.049913280976625,-0.702314504722714
"1252",-0.027158491802772,-0.541432740752399,-0.0372953751079878,-0.470517149172403,0.0709155915799959,-0.0101368833052159
"1363",-0.0647793747264507,-0.255001554292484,0.228490513600771,-0.349045426902623,-0.0940438726101392,0.293269888327222
"1423",0.713872251796725,-0.0497385264150297,0.198746082248716,0.0507162240974906,0.10045475051252,-0.515126169548009
"1499",0.688109376857346,-0.241913517861225,0.203429466624637,-0.380349557300924,-0.1384360394397,-0.484679910232709
"1867",0.197918228101613,-0.486964534297773,-0.0571523014658704,-0.421731041923198,0.0652334923745754,-0.255070529567483
"1870",0.724480612837821,-0.0673842095263894,0.275894882990783,-0.506951996068076,-0.439567786541687,-0.448585729847037
"2397",1.37596880374847,-0.652291915051286,0.429334752487955,-1.04197764165389,-0.3896857266026,-0.946634051260515
"2411",0.282956662914728,-0.403033389520267,0.10943525151557,0.20570024621836,0.608733635738627,-0.173521411399158
"2431",0.716451059597666,-0.048103292387911,0.335064512369478,0.0998464749935573,0.147949767381468,-0.381386547228187
"2690",0.944898145772583,-0.116910011510994,0.398140473448636,-0.252947422699337,-0.136037411188343,-0.546757672323947
"2803",-0.0578750461354838,-1.15452071815619,0.26192981651036,-1.23438166307525,-0.0798609449190586,0.319804862645844
