"sub","reward_self","effort_self","reward_other","effort_other","diff_effort","diff_reward"
"155",1.03341088811833,0.143646847704771,0.103989578994407,-0.52876334092556,-0.672410188630332,-0.929421309123928
"332",1.02624053206795,0.0693337183476472,0.418335990256828,-0.337220568588538,-0.406554286936185,-0.607904541811119
"548",1.02931457347798,0.143226034419209,0.163175745524838,-0.0804498252069571,-0.223675859626166,-0.866138827953139
"849",1.02218068108403,0.0530993170127116,0.189626377452929,-0.198108619123403,-0.251207936136115,-0.832554303631097
"893",1.02624053206795,0.0693337183476472,0.188379526931194,-0.195560276648439,-0.264893994996087,-0.837861005136753
"974",1.24571078272591,-0.711809929223131,0.436484643713991,-1.3949962238896,-0.683186294666467,-0.809226139011918
"1019",1.02624053206795,0.0693337183476472,0.44079038808403,-0.858804093779541,-0.928137812127188,-0.585450143983917
"1083",0.75544923231745,-0.923510779855551,0.134930503803374,-1.50685687539225,-0.583346095536696,-0.620518728514076
"1126",1.03459127031421,0.131456638384762,0.1279239535795,-0.166075838726693,-0.297532477111454,-0.906667316734712
"1252",0.301955932356537,-0.4646485390047,0.105583444622652,-0.825968656059739,-0.361320117055038,-0.196372487733885
"1363",-0.00845577048767399,-0.199558675010991,0.293222456991733,-0.429597118201567,-0.230038443190576,0.301678227479407
"1423",1.02334260429802,0.0673417466522763,0.326115991620159,-0.25961282069947,-0.326954567351746,-0.697226612677859
"1499",0.827589051147974,-0.133944557995123,0.272313678306502,-0.450795651337757,-0.316851093342634,-0.555275372841471
"1867",0.222364109488552,-0.473288839811605,0.0327153721325288,-0.513056994808432,-0.0397681549968272,-0.189648737356023
"1870",1.02594907394621,0.0496506388732165,0.407645078922819,-0.860210285451136,-0.909860924324353,-0.618303995023391
"2397",1.42411780399858,-0.634983877627078,0.445746678857584,-1.07739412371519,-0.442410246088108,-0.978371125140998
"2411",0.579365306305972,-0.353246743605088,0.256855491009148,-0.1203673314812,0.232879412123888,-0.322509815296824
"2431",1.02624053206795,0.0693337183476472,0.480878531967043,-0.27616229104272,-0.345496009390368,-0.545362000100904
"2690",1.14080562401943,0.0132744816530901,0.449568827304488,-0.310819290530718,-0.324093772183808,-0.691236796714939
"2803",0.0424710873413632,-1.05950515703177,0.302705544779127,-1.31300979638014,-0.253504639348367,0.260234457437764
"2854",1.03341088811833,0.143646847704771,0.160008428382097,-0.0834767608570748,-0.227123608561846,-0.873402459736238
"2899",1.03190678486759,0.127360881571262,0.238768206757169,-0.151606576768317,-0.278967458339579,-0.793138578110419
