subject_id,grupo,k_self_parabolico_antiguo,k_other_parabolico_antiguo,beta_parabolico_antiguo,k_self_lineal_antiguo,k_other_lineal_antiguo,beta_lineal_antiguo,k_self_hiperbolico_antiguo,k_other_hiperbolico_antiguo,beta_hiperbolico_antiguo,k_self_parabolico_nuevo,k_other_parabolico_nuevo,beta_parabolico_nuevo,k_self_lineal_nuevo,k_other_lineal_nuevo,beta_lineal_nuevo,k_self_hiperbolico_nuevo,k_other_hiperbolico_nuevo,beta_hiperbolico_nuevo
155,0,1.49242346967476e-8,0.726797244703399,1.81952189458125,1.75853534159893e-9,0.681087422127889,1.81952156830089,4.32612284526329e-4,0.70996095901203,1.82125033921813,0.00672499332212691,0.0314242380262433,1.30803471459368,0.029225202691378,0.138494511241285,1.34827695038949,0.0338724104205812,0.18963694140598,2.15325645940491
332,1,1.51528133418319e-7,0.717065429182786,1.51360592833473,6.38615883199306e-8,0.731776208128859,1.51360569502095,0.0158053716687264,0.69011335083041,1.55882738670536,0.00652779142491812,0.0666937317792013,0.940757728527988,0.0283990862182183,0.350238811232283,1.09123275120176,0.0330435305629358,0.444962036054533,2.02738284219984
548,0,1.43938154250298e-8,0.750053268655988,18.8378367520216,4.53176926514867e-8,0.724527991757718,18.5805086084296,4.47018242578863e-8,0.750000039963416,18.8370928696111,0.0076011446249918,0.0164344239719285,1.75689461940764,0.0364116796961593,0.0782128479990434,1.82638519455396,0.047908608944497,0.055890351777456,2.30721463939956
849,1,5.41462456363623e-11,0.542182602421856,49.8520198803828,4.27824360097185e-8,0.750000374048086,18.6992271725775,9.72242642822384e-7,0.828984904734466,22.0533876008675,0.0373283767633001,0.017171730396964,1.54321163372924,0.128623703521574,0.0783080238656996,1.51783630015128,0.131112941630128,0.0682324102275505,2.18470238776692
893,1,1.41041775987358e-8,0.75019958536842,18.9016126554614,4.2549619120819e-8,0.976383628994936,18.8035412863448,7.87830966295989e-9,0.750047063093484,20.3062183466233,0.00814423140031121,0.0170426475500645,2.67636464382188,0.0362586535685994,0.0762613070082511,2.73388663893874,0.0450219471991174,0.0592208861207318,3.87965305704543
974,1,0.11342883987746,0.79494555600145,1.84772543635699,0.322243423616866,0.748886832249424,1.55115517375521,0.226708185832589,0.788454313720079,1.75567627221608,0.136093434327474,0.125296693171769,1.18658219790688,0.540851913736467,0.50163709360504,1.22994780942381,0.474606116407526,0.468645573356708,2.47190042867589
1019,1,0.605567296374793,0.659449238074578,0.941453441986705,1.49999545794486,0.750131636851658,1.33419167050911,1.49999948995064,0.885682055429989,4.29785167421799,0.00655668631761663,0.433750497156346,1.03774488210243,0.029819767293755,1.28754406001719,1.4949880432133,0.0466153647746969,1.5301472065537,4.13799112587611
1083,1,0.129609932485519,0.749774007898027,0.875298999909905,0.229361532570779,0.651657407366063,0.709738449512024,0.186879601717077,0.750033670365665,0.85048484784663,0.0828311516540659,0.121527110723999,1.35355703522361,0.27729419277363,0.444240610692196,1.08816043299657,0.25364219796836,0.392043697307802,2.16147504542705
1126,0,4.40528364179709e-8,0.727408606319157,2.02294805829329,1.39393600378882e-7,0.739978428091928,2.02294800379683,1.82793146254862e-7,0.754204965524337,2.02294840404684,0.00783396738251287,0.0548194836384355,0.849991475494607,0.0376105601567214,0.254594639640354,0.910169118473795,0.0475062645736158,0.280971161996995,1.37668821015267
1252,1,2.30445503006963e-8,0.641642738695417,0.888578049907257,2.73779270002803e-7,0.643905969927865,0.888578399230217,1.20706725763027e-7,0.649002512190544,0.88857820825383,0.0120349690004356,0.0282566867915007,0.802114202877509,0.0517711112119182,0.119790463009581,0.82436226581097,0.0891377120219976,0.122655050740936,1.16493073495272
1363,0,3.75814932575829e-7,0.68542821525213,0.523670775720082,1.75909629655837e-7,0.694493025054665,0.523670701009365,1.36203106109742e-7,0.6991565562828,0.523670769217583,0.018232682712821,0.0873890239909469,0.5570420786575,0.101107597995316,0.348288871880472,0.59262728354876,0.214521745348616,0.30213736345015,1.04344280400121
1423,1,1.59526730592915e-8,0.750000000000606,18.8962574229883,2.48527225975346e-10,0.484581258130665,40.1974949888973,2.79598968279515e-7,0.824263607421995,21.2646347974979,0.01142732920925,0.0175312763485653,1.65750665366184,0.0456765096880549,0.0817797730022172,1.6995572312504,0.0853604274040926,0.0639084459477699,2.42995914748212
1499,0,0.0993691375798215,0.750030075851327,0.853783206329767,0.394445648354218,0.665835197300268,0.962671024919824,0.625378632062038,0.772535134191936,1.61318182695495,0.00796598918143617,0.122870904296824,0.735200084057806,0.0389427457514624,0.569750845387311,0.88529752463004,0.0612446876648805,0.65936593536257,1.47891255668818
